tid,mono_casting,bdry_cleaning,leveling,num_levels,num_boundaries,t_reduced_p,t_reduced_r,t_reduced_f,t_full_p,t_full_r,t_full_f
2,depth,absorb,unique,7,19,0.1942956711006357,0.44644840790942303,0.2707570646944987,0.47153166868359264,0.46069005942242225,0.4660478208478192
2,depth,absorb,mean_shift,4,19,0.3542473047581092,0.44361672512533407,0.39392684300914277,0.5162772850286643,0.45626278257239145,0.4844183154883156
2,depth,kde,unique,15,15,0.2003212100501504,0.5046731766317429,0.28680155000536417,0.4801139195520226,0.46845155417466594,0.47421104399133795
2,depth,kde,mean_shift,3,15,0.4158377096921403,0.5031233881216965,0.4553352212771457,0.5091385224863323,0.4674475780453603,0.48740314672972496
2,depth,none,unique,11,36,0.21655902395492985,0.4579731596525294,0.2940651991473347,0.4669875870828797,0.47164526470093726,0.4693048697436485
2,depth,none,mean_shift,3,36,0.3043750186238295,0.4451283194636119,0.36153525579341506,0.522206941427118,0.4561813863024851,0.4869663296777196
2,prob,absorb,unique,14,18,0.3751419197302584,0.5125273418632008,0.4332029940873743,0.4916442078883694,0.4933329557411295,0.4924871341317902
2,prob,absorb,mean_shift,2,18,0.5267608068335539,0.4384725983751484,0.47857891873221636,0.5525887566436262,0.4552151926711225,0.49919787969567353
2,prob,kde,unique,15,15,0.4327103247927325,0.5098352135778236,0.4681173521640507,0.4848984199526413,0.4742924580586238,0.47953680290395767
2,prob,kde,mean_shift,3,15,0.4721643107559313,0.50454343989281,0.48781717025421717,0.5105044095674107,0.4708480202326138,0.48987495881335164
2,prob,none,unique,18,36,0.44368560643749827,0.5289771983149266,0.4825918455588643,0.4852150912831437,0.499529857007402,0.4922684306982381
2,prob,none,mean_shift,2,36,0.5331149792110563,0.41981741869302025,0.4697310216993964,0.5583640935938798,0.43138418626650726,0.4867286865897025
3,depth,absorb,unique,10,27,0.43944882587414624,0.4532923055485114,0.4462632322846785,0.5639926948853345,0.5226046316990659,0.5425104357987206
3,depth,absorb,mean_shift,4,27,0.5232077267059708,0.43053468285787,0.47236878726857967,0.6106555464096932,0.50507525760786,0.5528699329658232
3,depth,kde,unique,26,26,0.33034084131693653,0.4593964898366966,0.38432379213736173,0.5462918217362365,0.5294277671755341,0.5377276055754568
3,depth,kde,mean_shift,3,26,0.5095627567127676,0.4219958271848329,0.46166362639673814,0.6216228991386115,0.4976411754991931,0.5527652629155625
3,depth,none,unique,11,48,0.35327055386253786,0.47436255328679994,0.4049579952364996,0.5485381586401575,0.5360804556141688,0.5422377638387463
3,depth,none,mean_shift,4,48,0.3906321649512789,0.44484706878642377,0.41598059301813,0.5633022871590061,0.5015255761402104,0.5306219227457112
3,prob,absorb,unique,17,26,0.40642201782584203,0.5149078275673798,0.45427786654396124,0.5882239793384116,0.5853029222115758,0.5867598153343715
3,prob,absorb,mean_shift,3,26,0.6507152836912792,0.39838267466062605,0.49420303050961345,0.6587793865110136,0.5080490842849906,0.5736786039072617
3,prob,kde,unique,25,25,0.6415744427060617,0.49363010400998986,0.557961928181672,0.5806565801709148,0.568385212386248,0.5744553693028517
3,prob,kde,mean_shift,3,25,0.6603826330263715,0.3872991265284405,0.48825058680862593,0.6680893961447392,0.49788508322020214,0.5705643656612946
3,prob,none,unique,20,48,0.6290528817175174,0.5280026924150206,0.5741152329131437,0.5757978766431253,0.5927514228761425,0.5841516670450864
3,prob,none,mean_shift,3,48,0.6504922912839856,0.3700594679634681,0.47174644312875336,0.6443613285107457,0.4595199846355592,0.5364651149552754
4,depth,absorb,unique,8,14,0.4152720347513414,0.45819567771383307,0.4356791869535297,0.7097241530129227,0.49272077869489705,0.5816413344342253
4,depth,absorb,mean_shift,3,14,0.658482828839455,0.4458244913251316,0.5316776713386817,0.7078044509374616,0.47794483691174094,0.5705952958779791
4,depth,kde,unique,14,14,0.2961857913947016,0.437957513890057,0.35338275760334875,0.6731007650987342,0.47650192574683137,0.5579907099126632
4,depth,kde,mean_shift,4,14,0.5763599459501908,0.4329808729327802,0.4944867538344117,0.7071295765682194,0.47217153652703403,0.5662446257098696
4,depth,none,unique,11,34,0.5239728882054056,0.47524341420696264,0.4984199391892104,0.7007594388913392,0.5121802450333396,0.591810369266605
4,depth,none,mean_shift,4,34,0.5632363430147467,0.4698450461281069,0.5123193745351587,0.7061396003371221,0.5065706928251931,0.5899341806381505
4,prob,absorb,unique,13,14,0.3406186731735826,0.43842695996431313,0.38338295738868056,0.6850899829483551,0.4791690740521615,0.5639190535781742
4,prob,absorb,mean_shift,4,14,0.5266020066242754,0.4360510863775568,0.47706775939622853,0.685830252821862,0.47588172278980867,0.5618846824444477
4,prob,kde,unique,13,13,0.30498044700037297,0.4375286694458118,0.35942370599225726,0.6764572671826704,0.4744084994161875,0.5576967989789264
4,prob,kde,mean_shift,3,13,0.48143373099517117,0.40579420287496615,0.4403896893870825,0.6947108244499259,0.4459341505170818,0.5431931725558337
4,prob,none,unique,19,34,0.4710424833047752,0.4590818778014661,0.46498527896340436,0.6747098617922012,0.500119385874346,0.5744417452886824
4,prob,none,mean_shift,5,34,0.4491784173028456,0.45538985402710547,0.45226280949900094,0.6743226647734788,0.49166998272054874,0.5686900576085305
5,depth,absorb,unique,7,17,0.6985314677041796,0.49641367320341545,0.5803790648796315,0.7165361632930667,0.5399308101105793,0.6158219186172987
5,depth,absorb,mean_shift,3,17,0.6829329607644673,0.4625373061894677,0.5515323812288832,0.7205473378423736,0.5099883229912151,0.5972532778336304
5,depth,kde,unique,17,17,0.38854022335000843,0.5271929340413706,0.4473697576365793,0.6972097170246495,0.5696264937695303,0.6269936447140624
5,depth,kde,mean_shift,3,17,0.7058537583934126,0.49359665973834144,0.5809444928109931,0.7326857799533273,0.5404126930504745,0.6220299590339426
5,depth,none,unique,11,37,0.4013443222385511,0.5064040248384734,0.4477945474252148,0.7075072824409074,0.5499507430748402,0.6188582804577522
5,depth,none,mean_shift,5,37,0.6199965006849297,0.4997203790350243,0.553398616979232,0.7162882103301839,0.5427755104135483,0.6175758900201129
